year,woy,dow,registered,total
2016,1,4,6221,6592
2012,3,4,3155,3285
2015,9,3,4893,5016
2013,7,0,2025,2508
2017,5,6,3889,4807
2011,3,4,1834,1915
2017,3,4,6345,7376
2011,5,6,905,1005
2016,13,4,9078,11028
2015,14,1,7568,9196
2015,3,4,5540,5812
2012,9,3,1764,1829
2014,13,4,5891,6512
2013,9,2,2635,2784
2015,5,6,3050,3371
2013,8,1,2826,3361
2015,12,5,2805,2956
2016,12,2,8353,9763
2016,4,4,1984,2022
2014,5,3,3127,3185
2015,10,5,1912,1987
2016,10,2,8888,10558
2015,8,2,1162,1198
2016,8,5,5199,5345
2012,7,4,2926,3000
2015,9,1,3574,3655
2017,8,2,7576,8815
2011,10,5,1725,1971
2016,5,3,4171,4243
2014,10,2,2216,2279
2017,9,1,7327,8264
2014,12,2,4488,4707
2011,12,5,1899,2199
2014,4,4,2416,2450
2011,9,1,1358,1439
2017,12,5,7243,9086
2017,10,5,5434,5998
2011,8,2,1368,1441
2014,8,5,5498,5844
2012,8,2,3608,3771
2015,7,4,5278,5509
2014,6,0,2934,3146
2012,9,1,4064,4317
2014,9,6,3796,4604
2014,2,0,4468,5467
2012,12,5,5884,8351
2012,10,5,4114,4561
2013,8,3,4192,4383
2013,3,0,4111,5768
2016,6,0,1626,1851
2016,9,6,4225,5334
2013,5,5,3117,3201
2011,7,4,2211,2469
2017,7,4,6088,6427
2016,2,0,2794,3400
2013,1,5,3821,4118
2012,6,5,3597,3822
2011,8,0,1707,2401
2014,13,3,4732,4980
2011,4,6,974,1097
2017,4,6,4219,5555
2012,9,4,4653,4978
2017,8,0,4421,6339
2014,10,0,4491,5979
2014,12,0,4178,5364
2015,7,1,4836,5017
2015,3,3,4393,4598
2012,2,5,3034,3207
2016,13,3,8823,10873
2013,11,6,4434,6247
2015,4,6,3273,3504
2015,8,0,1869,2021
2017,7,1,5955,6364
2017,3,3,6810,7345
2016,12,0,4819,8564
2011,3,3,1571,1649
2011,7,1,1698,1906
2016,10,0,3768,5194
2015,9,4,3425,3531
2014,7,6,1642,1781
2015,2,5,4150,4237
2016,2,2,6103,6490
2016,1,3,5459,5712
2012,7,1,3325,3419
2012,3,3,3261,3370
2013,3,2,2699,2923
2015,6,5,4823,5006
2016,6,2,3942,4053
2016,7,6,5594,8245
2014,1,3,2311,3040
2014,2,2,2301,2330
2011,2,5,1364,1418
2017,6,5,5549,5974
2013,13,5,5474,7443
2011,9,4,1554,1677
2017,9,4,7438,8134
2012,4,6,3244,4019
2012,8,0,2874,3389
2014,4,1,4488,5368
2014,6,2,5096,5226
2011,6,5,1591,1739
2017,2,5,7132,8031
2016,8,6,4450,5432
2016,4,0,3134,3611
2015,10,6,2891,3271
2015,12,6,5995,9436
2012,7,0,2071,2689
2017,10,6,3925,5116
2012,8,1,2625,3127
2014,8,6,5942,7896
2014,4,0,2458,2588
2012,9,2,4124,4353
2017,12,6,7167,16191
2011,12,6,1514,2495
2013,9,3,5077,5440
2011,10,6,1408,2132
2017,8,1,5920,10058
2012,10,6,3148,4116
2014,6,4,5093,5243
2014,10,1,413,429
2017,9,2,6879,7828
2014,12,1,1235,1296
2015,7,0,983,1055
2012,12,6,2334,3367
2011,9,2,1706,1843
2014,9,5,3970,4143
2014,2,4,4802,4992
2011,8,1,910,1105
2016,12,1,6742,7580
2011,7,0,1173,1812
2016,53,0,3722,4964
2013,3,4,4455,4817
2016,6,4,4155,4246
2016,10,1,7524,9003
2016,2,4,6686,7164
2013,5,6,2240,2473
2015,8,1,1237,1335
2017,7,0,5301,12350
2015,9,2,3861,3921
2016,9,5,5072,5345
2011,8,4,1701,1801
2014,2,1,3430,3553
2012,2,6,2158,2491
2017,4,5,6363,6887
2014,12,4,6804,7602
2011,4,5,1127,1165
2014,4,2,1721,1766
2012,9,0,2708,3418
2017,8,4,9655,11744
2013,1,6,3053,3562
2014,6,1,2432,2493
2012,6,6,1976,2168
2014,10,4,4635,4875
2016,2,1,5866,6294
2012,7,2,3778,3909
2015,8,4,2662,2720
2013,7,3,3385,3556
2013,3,1,4615,5059
2016,6,1,5728,5994
2016,10,4,9044,10954
2016,12,4,10224,13363
2013,11,5,5183,6384
2015,4,5,4506,4774
2015,6,6,4267,5036
2017,7,2,7003,7409
2015,9,0,752,802
2014,7,5,1876,1949
2015,2,6,2535,2694
2011,7,2,1669,1808
2014,11,3,5586,6288
2011,9,0,490,604
2011,6,6,1183,1471
2017,2,6,1699,1864
2012,4,5,3180,3449
2013,13,6,4656,9664
2016,11,3,9403,13356
2017,9,0,3706,4999
2015,7,2,5554,5768
2016,7,5,5344,5633
2012,8,4,4533,5048
2011,2,6,1026,1248
2017,6,6,4776,6821
2011,11,6,1689,3112
2012,52,0,1607,2293
2015,1,5,4217,5155
2016,2,3,5349,5620
2016,1,2,4601,4850
2012,3,2,2805,2931
2013,3,3,3314,3511
2016,6,3,5309,5493
2013,7,1,4117,4268
2017,11,6,4527,8245
2014,2,3,3901,3976
2011,1,5,1358,1506
2013,8,0,3530,4378
2013,4,6,2586,2765
2015,11,6,2850,3669
2012,13,5,4656,5447
2014,6,3,3684,3800
2017,1,5,5261,5570
2013,2,5,3896,4150
2014,13,2,3014,3119
2013,9,4,4831,5128
2016,5,0,3993,4664
2016,11,1,6801,7671
2017,13,5,3371,3792
2013,6,5,3244,3390
2015,3,2,5273,5520
2016,3,5,2923,2985
2012,1,5,3787,4091
2015,13,5,5254,6141
2016,13,2,8563,10221
2017,52,0,2483,4063
2017,3,2,5391,5574
2014,3,5,5653,6185
