year,week,dow,daily_registered_normalized_to_week_registered,daily_registered_normalized_to_week_total
2011,1,0,0.0878982351592941,0.0816478603363849
2011,1,1,0.140614256245703,0.130615286352991
2011,1,2,0.166513866605547,0.154673195656802
2011,1,3,0.173619069447628,0.161273153076432
2011,1,4,0.173619069447628,0.161273153076432
2011,1,5,0.155626862250745,0.144560357675112
2011,1,6,0.102108640843456,0.094847775175644
2011,2,0,0.114350851931845,0.105806594870656
2011,2,1,0.153347732181425,0.14188964139003
2011,2,2,0.146028317734581,0.13511713112024
2011,2,3,0.136069114470842,0.125902076162984
2011,2,4,0.163426925845932,0.151215721105807
2011,2,5,0.163666906647468,0.151437770622849
2011,2,6,0.123110151187905,0.1139114022427
2011,3,0,0.102614459310176,0.0955647005029721
2011,3,1,0.108383454032159,0.100937357110197
2011,3,2,0.0823616054989567,0.0767032464563329
2011,3,3,0.192831717196514,0.179583904892547
2011,3,4,0.225113538725911,0.209647919524463
2011,3,5,0.17969804836136,0.167352537722908
2011,3,6,0.108997176874923,0.101508916323731
2011,4,0,0.134947606910224,0.12402394586153
2011,4,1,0.188048711413197,0.172826652785008
2011,4,2,0.254318889832909,0.233732431025508
2011,4,3,0.0664117813650524,0.0610359187922957
2011,4,4,0.0587652223166242,0.0540083289953149
2011,4,5,0.159586519399604,0.146668401874024
2011,4,6,0.13792126876239,0.126756897449245
2011,5,0,0.133319292333614,0.123391812865497
2011,5,1,0.153643639427127,0.142202729044834
2011,5,2,0.138268744734625,0.127972709551657
2011,5,3,0.15290648694187,0.141520467836257
2011,5,4,0.156276326874473,0.144639376218324
2011,5,5,0.170282224094356,0.157602339181287
2011,5,6,0.0953032855939343,0.0882066276803119
2011,6,0,0.11866600298656,0.106810035842294
2011,6,1,0.15788949726232,0.142114695340502
2011,6,2,0.145345943255351,0.130824372759857
2011,6,3,0.153807864609258,0.138440860215054
2011,6,4,0.148133399701344,0.133333333333333
2011,6,5,0.158387257341961,0.142562724014337
2011,6,6,0.117770034843206,0.106003584229391
2011,7,0,0.0970464135021097,0.080019100893649
2011,7,1,0.14048150905932,0.115833276485436
2011,7,2,0.138082237114255,0.113854969643223
2011,7,3,0.156366344005957,0.128931032130432
2011,7,4,0.182923802432365,0.15082884234941
2011,7,5,0.193927359973525,0.159901766832663
2011,7,6,0.0911723339124679,0.0751756600040931
2011,8,0,0.165198877383141,0.141331346249379
2011,8,1,0.0880673570115165,0.0753435999337639
2011,8,2,0.132391367463467,0.113263785394933
2011,8,3,0.171199070937772,0.146464646464646
2011,8,4,0.164618213490758,0.140834575260805
2011,8,5,0.129100938739959,0.110448749793012
2011,8,6,0.149424174973386,0.127835734393111
2011,9,0,0.0482330938084457,0.0418839217027096
2011,9,1,0.133674574269121,0.116078297290367
2011,9,2,0.16792991436165,0.145824429438414
2011,9,3,0.186632542573088,0.162065133772117
2011,9,4,0.152967811792499,0.132831865971451
2011,9,5,0.169504872526824,0.147192067698094
2011,9,6,0.141057190668373,0.122489101632618
2011,10,0,0.139725226541947,0.11024832782348
2011,10,1,0.158238331871772,0.124855846851695
2011,10,2,0.176166812822761,0.139002075805336
2011,10,3,0.164669200038975,0.129930037672023
2011,10,4,0.0559290655753678,0.0441300838010302
2011,10,5,0.168079508915522,0.132620896440378
2011,10,6,0.137191854233655,0.108249404166987
2011,11,0,0.108689001070828,0.0797463381783489
2011,11,1,0.128805262352761,0.0945058645266289
2011,11,2,0.134388863392994,0.0986026151860374
2011,11,3,0.142726021110601,0.104719681239127
2011,11,4,0.17691601652134,0.129805264043998
2011,11,5,0.179287134771302,0.131544980077445
2011,11,6,0.129187700780174,0.0947864638868623
2011,12,0,0.100436321725529,0.0806345009914078
2011,12,1,0.137647155676299,0.110508922670192
2011,12,2,0.183996048407014,0.147719762062128
2011,12,3,0.157569770313658,0.12650363516193
2011,12,4,0.13937597760764,0.111896893588896
2011,12,5,0.156334897505557,0.125512227362855
2011,12,6,0.124639828764304,0.100066093853272
2011,13,1,0.266173205033309,0.235309514461458
2011,13,2,0.311324944485566,0.275225755791127
2011,13,3,0.201332346410067,0.177987174453606
2011,13,4,0.221169504071058,0.195524146054181
2011,52,0,0.505668934240363,0.375
2011,52,6,0.494331065759637,0.366591928251121
2012,1,0,0.146266956611784,0.129266953418139
2012,1,1,0.0883297090193642,0.0780635124004759
2012,1,2,0.111007559283421,0.0981056099569873
2012,1,3,0.117634876255566,0.103962661297703
2012,1,4,0.162006834420628,0.143177450352338
2012,1,5,0.196075385730558,0.173286354900705
2012,1,6,0.178678678678679,0.157911595131326
2012,2,0,0.107594936708861,0.0999950570906035
2012,2,1,0.120412722050846,0.111907468736098
2012,2,2,0.181842357196043,0.168998072265335
2012,2,3,0.110732900755239,0.102911373634521
2012,2,4,0.203276247207744,0.188917997133113
2012,2,5,0.161365812147644,0.149967871088923
2012,2,6,0.114775023933624,0.106667984775839
2012,3,0,0.102518296548147,0.0971494102228047
2012,3,1,0.119748746614418,0.11347750109218
2012,3,2,0.161643519852475,0.153178243774574
